           a           b  c  d   e      J  g  h   position            i                     strength         f   z  label  m   n      o   p  q      r  s  t     u   v   K  y
SymmetricTop Excited  19 10  1 Ground  19  4  1  1499.879008          -               0.313929106531756   0.0000 : pQ1(19) : Excited v=1 19  0    E1u - Ground v=0 19  1 E1g
SymmetricTop Excited  20 10  1 Ground  20  4  1  1499.865688          -               0.239791317112407   0.0000 : pQ1(20) : Excited v=1 20  0    E1u - Ground v=0 20  1 E1g
SymmetricTop Excited   9  7  1 Ground   9  1  1  1499.96464844        -               3.08686928912797    0.0000 : rQ0(9) : Excited v=1  9  1     A2u - Ground v=0  9  0 A2g
SymmetricTop Excited  10  6  1 Ground  10  0  1  1499.95798844        -               2.90820651858127    0.0000 : rQ0(10) : Excited v=1 10  1     A1u - Ground v=0 10  0 A1g
SymmetricTop Excited  11  7  1 Ground  11  1  1  1499.95066244        -               2.67201705321921    0.0000 : rQ0(11) : Excited v=1 11  1     A2u - Ground v=0 11  0 A2g
SymmetricTop Excited  12  6  1 Ground  12  0  1  1499.94267044        -               2.39784424692684    0.0000 : rQ0(12) : Excited v=1 12  1     A1u - Ground v=0 12  0 A1g
SymmetricTop Excited  13  7  1 Ground  13  1  1  1499.93401244        -               2.10415838952562    0.0000 : rQ0(13) : Excited v=1 13  1     A2u - Ground v=0 13  0 A2g
SymmetricTop Excited  14  6  1 Ground  14  0  1  1499.92468844        -               1.80721779967123    0.0000 : rQ0(14) : Excited v=1 14  1     A1u - Ground v=0 14  0 A1g
SymmetricTop Excited  15  7  1 Ground  15  1  1  1499.91469844        -               1.52032401593377    0.0000 : rQ0(15) : Excited v=1 15  1     A2u - Ground v=0 15  0 A2g
SymmetricTop Excited  10 10  1 Ground  10  4  1  1499.968918          -               1.45991842717741    0.0000 : pQ1(10) : Excited v=1 10  0    E1u - Ground v=0 10  1 E1g
SymmetricTop Excited  11 10  1 Ground  11  4  1  1499.961592          -               1.34135141669032    0.0000 : pQ1(11) : Excited v=1 11  0    E1u - Ground v=0 11  1 E1g
SymmetricTop Excited  16  6  1 Ground  16  0  1  1499.90404244        -               1.25347159706954    0.0000 : rQ0(16) : Excited v=1 16  1     A1u - Ground v=0 16  0 A1g
SymmetricTop Excited  12 10  1 Ground  12  4  1  1499.9536            -               1.20371678531881    0.0000 : pQ1(12) : Excited v=1 12  0    E1u - Ground v=0 12  1 E1g
SymmetricTop Excited  13 10  1 Ground  13  4  1  1499.944942          -               1.05628661064517    0.0000 : pQ1(13) : Excited v=1 13  0    E1u - Ground v=0 13  1 E1g
SymmetricTop Excited  14 10  1 Ground  14  4  1  1499.935618          -               0.90722256167356    0.0000 : pQ1(14) : Excited v=1 14  0    E1u - Ground v=0 14  1 E1g
SymmetricTop Excited   3  6  1 Ground   4  0  1  1499.90182244        -               0.852395816842602   0.0000 : rP0(4) : Excited v=1  3  1     A1u - Ground v=0  4  0 A1g
SymmetricTop Excited  15 10  1 Ground  15  4  1  1499.925628          -               0.7632020050711     0.0000 : pQ1(15) : Excited v=1 15  0    E1u - Ground v=0 15  1 E1g
SymmetricTop Excited   3 10  1 Ground   4  4  1  1499.912752          -               0.713170558501999   0.0000 : pP1(4) : Excited v=1  3  0    E1u - Ground v=0  4  1 E1g
SymmetricTop Excited  16 10  1 Ground  16  4  1  1499.914972          -               0.629242205054283   0.0000 : pQ1(16) : Excited v=1 16  0    E1u - Ground v=0 16  1 E1g
SymmetricTop Excited   2 10  1 Ground   3  4  1  1499.93695           -               0.608172626899597   0.0000 : pP1(3) : Excited v=1  2  0    E1u - Ground v=0  3  1 E1g
SymmetricTop Excited   2  7  1 Ground   3  1  1  1499.92602044        -               0.605750145024085   0.0000 : rP0(3) : Excited v=1  2  1     A2u - Ground v=0  3  0 A2g
SymmetricTop Excited  17 10  1 Ground  17  4  1  1499.90365           -               0.508700512662358   0.0000 : pQ1(17) : Excited v=1 17  0    E1u - Ground v=0 17  1 E1g
SymmetricTop Excited   1 10  1 Ground   2  4  1  1499.960482          -               0.478515202199041   0.0000 : pP1(2) : Excited v=1  1  0    E1u - Ground v=0  2  1 E1g
SymmetricTop Excited   1  6  1 Ground   2  0  1  1499.94955244        -               0.317739449083702   0.0000 : rP0(2) : Excited v=1  1  1     A1u - Ground v=0  2  0 A1g
SymmetricTop Excited   7  7  1 Ground   7  1  1  1499.97597044        -               3.19716957589239    0.0000 : rQ0(7) : Excited v=1  7  1     A2u - Ground v=0  7  0 A2g
SymmetricTop Excited   8  6  1 Ground   8  0  1  1499.97064244        -               3.18886681984257    0.0000 : rQ0(8) : Excited v=1  8  1     A1u - Ground v=0  8  0 A1g
SymmetricTop Excited   6  6  1 Ground   6  0  1  1499.98063244        -               3.09862376956373    0.0000 : rQ0(6) : Excited v=1  6  1     A1u - Ground v=0  6  0 A1g
SymmetricTop Excited   5  7  1 Ground   5  1  1  1499.98462844        -               2.88558183263918    0.0000 : rQ0(5) : Excited v=1  5  1     A2u - Ground v=0  5  0 A2g
SymmetricTop Excited   4  6  1 Ground   4  0  1  1499.98795844        -               2.5571874505278     0.0000 : rQ0(4) : Excited v=1  4  1     A1u - Ground v=0  4  0 A1g
SymmetricTop Excited   3  7  1 Ground   3  1  1  1499.99062244        -               2.1201255075843     0.0000 : rQ0(3) : Excited v=1  3  1     A2u - Ground v=0  3  0 A2g
SymmetricTop Excited   7 10  1 Ground   7  4  1  1499.9869            -               1.60497775822788    0.0000 : pQ1(7) : Excited v=1  7  0    E1u - Ground v=0  7  1 E1g
SymmetricTop Excited   8 10  1 Ground   8  4  1  1499.981572          -               1.60080977824571    0.0000 : pQ1(8) : Excited v=1  8  0    E1u - Ground v=0  8  1 E1g
SymmetricTop Excited   2  6  1 Ground   2  0  1  1499.99262044        -               1.58869724541851    0.0000 : rQ0(2) : Excited v=1  2  1     A1u - Ground v=0  2  0 A1g
SymmetricTop Excited   6 10  1 Ground   6  4  1  1499.991562          -               1.55550780564334    0.0000 : pQ1(6) : Excited v=1  6  0    E1u - Ground v=0  6  1 E1g
SymmetricTop Excited   9 10  1 Ground   9  4  1  1499.975578          -               1.54960706149728    0.0000 : pQ1(9) : Excited v=1  9  0    E1u - Ground v=0  9  1 E1g
SymmetricTop Excited   5 10  1 Ground   5  4  1  1499.995558          -               1.44856084452125    0.0000 : pQ1(5) : Excited v=1  5  0    E1u - Ground v=0  5  1 E1g
SymmetricTop Excited   4 10  1 Ground   4  4  1  1499.998888          -               1.2837070053036     0.0000 : pQ1(4) : Excited v=1  4  0    E1u - Ground v=0  4  1 E1g
SymmetricTop Excited   3 10  1 Ground   3  4  1  1500.001552          -               1.0643020970743     0.0000 : pQ1(3) : Excited v=1  3  0    E1u - Ground v=0  3  1 E1g
