          a            b  c  d   e      J  g  h   position            i                     strength         f      z       label       m       n      o   p  q      r  s  t     u   v   K  y
SymmetricTop Excited  17  8  1 Ground  18  2  1  1499.46232904        -               0.131329417302373   0.0000    :     rP3B1g(18)    :     Excited v=1 17  4     B1u - Ground v=0 18  3 B1g
SymmetricTop Excited  17  9  1 Ground  18  3  1  1499.46232904        -               0.131329417302373   0.0000    :     rP3B2g(18)    :     Excited v=1 17  4     B2u - Ground v=0 18  3 B2g
SymmetricTop Excited  19 11  2 Ground  20  5  1  1499.46979396        -               0.171379477555051   0.0000    :     pP4(20)    :     Excited v=1 19  3     E2u - Ground v=0 20  4 E2g
SymmetricTop Excited  18 10  3 Ground  19  4  2  1499.469862          -               0.160989285400901   0.0000    :     pP1(19)    :     Excited v=1 18  0    E1u - Ground v=0 19  1 E1g
SymmetricTop Excited  17 11  3 Ground  18  5  2  1499.47225996        -               0.147125263035775   0.0000    :     rP2(18)    :     Excited v=1 17  3     E2u - Ground v=0 18  2 E2g
SymmetricTop Excited  19 10  1 Ground  20  4  1  1499.48205504        -               0.193095018025818   0.0000    :     pP5(20)    :     Excited v=1 19  4     E1u - Ground v=0 20  5 E1g
SymmetricTop Excited  18 11  4 Ground  19  5  2  1499.48112444        -               0.180078843811234   0.0000    :     pP2(19)    :     Excited v=1 18  1     E2u - Ground v=0 19  2 E2g
SymmetricTop Excited  17 10  2 Ground  18  4  2  1499.48252376        -               0.164757383906321   0.0000    :     rP1(18)    :     Excited v=1 17  2     E1u - Ground v=0 18  1 E1g
SymmetricTop Excited  16 11  1 Ground  17  5  1  1499.486253          -               0.141602181471634   0.0000    :     rP4(17)    :     Excited v=1 16  5     E2u - Ground v=0 17  4 E2g
SymmetricTop Excited  17  6  2 Ground  18  0  1  1499.49312044        -               0.369227519879677   0.0000    :     rP0(18)    :     Excited v=1 17  1     A1u - Ground v=0 18  0 A1g
SymmetricTop Excited  18  9  2 Ground  19  3  1  1499.49271976        -               0.202079421902528   0.0000    :     pP3B2g(19)    :     Excited v=1 18  2     B2u - Ground v=0 19  3 B2g
SymmetricTop Excited  18  8  2 Ground  19  2  1  1499.49271976        -               0.202079421902528   0.0000    :     pP3B1g(19)    :     Excited v=1 18  2     B1u - Ground v=0 19  3 B1g
SymmetricTop Excited  16  9  1 Ground  17  3  1  1499.49585104        -               0.160650964324253   0.0000    :     rP3B2g(17)    :     Excited v=1 16  4     B2u - Ground v=0 17  3 B2g
SymmetricTop Excited  16  8  1 Ground  17  2  1  1499.49585104        -               0.160650964324253   0.0000    :     rP3B1g(17)    :     Excited v=1 16  4     B1u - Ground v=0 17  3 B1g
SymmetricTop Excited  18 11  2 Ground  19  5  1  1499.50464796        -               0.227595687583609   0.0000    :     pP4(19)    :     Excited v=1 18  3     E2u - Ground v=0 19  4 E2g
SymmetricTop Excited  17 10  3 Ground  18  4  2  1499.50405           -               0.207158181235153   0.0000    :     pP1(18)    :     Excited v=1 17  0    E1u - Ground v=0 18  1 E1g
SymmetricTop Excited  16 11  3 Ground  17  5  2  1499.50578196        -               0.181704018253744   0.0000    :     rP2(17)    :     Excited v=1 16  3     E2u - Ground v=0 17  2 E2g
SymmetricTop Excited  18 10  1 Ground  19  4  1  1499.51690904        -               0.257366888126498   0.0000    :     pP5(19)    :     Excited v=1 18  4     E1u - Ground v=0 19  5 E1g
